,Stkcd,year,EX_INDAT_read,AT
631,000547,2018,51.0,27.0
632,000547,2019,74.0,5102.0
633,000547,2020,70.0,7343.0
634,000548,2016,,
635,000548,2017,,
636,000548,2018,1.0,2.0
637,000548,2019,1.0,743.0
638,000548,2020,3.0,2892.0
639,000550,2016,,
640,000550,2017,,
641,000550,2018,11.0,35.0
642,000550,2019,18.0,2655.0
643,000550,2020,15.0,7077.0
644,000551,2016,,
645,000551,2017,,
646,000551,2018,6.0,10.0
647,000551,2019,4.0,1658.0
648,000551,2020,2.0,3715.0
649,000552,2016,,
650,000552,2017,,
651,000552,2018,2.0,10.0
652,000552,2019,1.0,1889.0
653,000552,2020,0.0,3916.0
654,000553,2016,,
655,000553,2017,,
656,000553,2018,23.0,11.0
657,000553,2019,16.0,2295.0
658,000553,2020,12.0,2641.0
659,000554,2016,,
660,000554,2017,,
661,000554,2018,11.0,7.0
662,000554,2019,6.0,3393.0
663,000554,2020,5.0,4345.0
664,000555,2016,,
665,000555,2017,,
666,000555,2018,19.0,130.0
669,000557,2016,,
670,000557,2017,,
671,000557,2018,0.0,25.0
672,000557,2019,0.0,2942.0
673,000557,2020,2.0,3837.0
674,000558,2016,,
675,000558,2017,,
676,000558,2018,19.0,11.0
677,000558,2019,15.0,4855.0
678,000558,2020,10.0,5095.0
679,000559,2016,,
680,000559,2017,,
681,000559,2018,11.0,21.0
682,000559,2019,18.0,2225.0
683,000559,2020,15.0,4374.0
684,000560,2016,,
685,000560,2017,,
686,000560,2018,19.0,94.0
687,000560,2019,15.0,4960.0
688,000560,2020,10.0,4988.0
689,000561,2016,,
690,000561,2017,,
691,000561,2018,51.0,6.0
692,000561,2019,74.0,2127.0
693,000561,2020,70.0,2200.0
694,000565,2016,,
695,000565,2017,,
696,000565,2018,23.0,5.0
697,000565,2019,16.0,1418.0
698,000565,2020,12.0,1321.0
699,000566,2016,,
700,000566,2017,,
701,000566,2018,26.0,38.0
702,000566,2019,17.0,7205.0
