,Stkcd,Time,INS
748,000586,2020-12-31,0.45685000000000003
749,000589,2016-12-31,0.272395
750,000589,2017-12-31,0.27108899999999997
751,000589,2018-12-31,0.269986
752,000589,2019-12-31,0.269704
753,000589,2020-12-31,0.286026
754,000590,2016-12-31,0.571059
755,000590,2017-12-31,0.548285
756,000590,2018-12-31,0.53813
757,000590,2019-12-31,0.50403
758,000590,2020-12-31,0.470282
759,000591,2016-12-31,0.630637
760,000591,2017-12-31,0.593132
761,000591,2018-12-31,0.588529
762,000591,2019-12-31,0.549533
763,000591,2020-12-31,0.46644100000000005
764,000592,2016-12-31,0.35854199999999997
765,000592,2017-12-31,0.351972
766,000592,2018-12-31,0.33694
