,Stkcd,Time,ROA_TTM
547,000528,2019-12-31,0.0383
548,000528,2020-12-31,0.042131
549,000529,2016-12-31,0.070819
550,000529,2017-12-31,0.085863
551,000529,2018-12-31,0.092194
552,000529,2019-12-31,0.122533
553,000529,2020-12-31,0.107224
554,000530,2016-12-31,0.040134
555,000530,2017-12-31,0.038584
556,000530,2018-12-31,0.020025
557,000530,2019-12-31,0.015527
558,000530,2020-12-31,0.004078
559,000531,2016-12-31,0.066904
560,000531,2017-12-31,0.022017
561,000531,2018-12-31,0.010507
562,000531,2019-12-31,0.039579
563,000531,2020-12-31,0.070709
564,000532,2016-12-31,0.034043
565,000532,2017-12-31,0.030171
566,000532,2018-12-31,0.026279
567,000532,2019-12-31,0.031013
568,000532,2020-12-31,0.073056
569,000533,2016-12-31,0.070526
570,000533,2017-12-31,0.017477
571,000533,2018-12-31,-0.357925
572,000533,2019-12-31,-0.004219
573,000533,2020-12-31,0.03552
574,000534,2016-12-31,0.025342
575,000534,2017-12-31,0.032397
576,000534,2018-12-31,0.01699
577,000534,2019-12-31,0.022282
578,000534,2020-12-31,0.032874
579,000536,2016-12-31,0.027276
580,000536,2017-12-31,0.009933
581,000536,2018-12-31,-0.24863
582,000536,2019-12-31,-0.153807
583,000536,2020-12-31,0.045845
584,000537,2016-12-31,0.040788
585,000537,2017-12-31,0.050356
586,000537,2018-12-31,0.033689
587,000537,2019-12-31,0.043081
588,000537,2020-12-31,0.030558
589,000538,2016-12-31,0.133594
590,000538,2017-12-31,0.119816
591,000538,2018-12-31,0.113283
592,000538,2019-12-31,0.10428
593,000538,2020-12-31,0.105095
594,000539,2016-12-31,0.018038
595,000539,2017-12-31,0.01606
596,000539,2018-12-31,0.012611
597,000539,2019-12-31,0.02429
598,000539,2020-12-31,0.032646
599,000540,2016-12-31,0.046663
600,000540,2017-12-31,0.023863
601,000540,2018-12-31,0.013764
602,000540,2019-12-31,0.01038
603,000540,2020-12-31,0.005498
604,000541,2016-12-31,0.17669
605,000541,2017-12-31,0.126668
606,000541,2018-12-31,0.067321
607,000541,2019-12-31,0.051593
608,000541,2020-12-31,0.043849
609,000543,2016-12-31,0.048863
610,000543,2017-12-31,0.002957
611,000543,2018-12-31,0.023073
612,000543,2019-12-31,0.034271
613,000543,2020-12-31,0.039908
614,000544,2016-12-31,0.06921
615,000544,2017-12-31,0.049892
616,000544,2018-12-31,0.052431
617,000544,2019-12-31,0.047875
618,000544,2020-12-31,0.038231
619,000545,2016-12-31,0.046278
620,000545,2017-12-31,0.060874
621,000545,2018-12-31,0.034716
622,000545,2019-12-31,0.008045
623,000545,2020-12-31,-0.083702
624,000546,2016-12-31,0.069056
625,000546,2017-12-31,0.061316
626,000546,2018-12-31,0.054277
627,000546,2019-12-31,0.065914
628,000546,2020-12-31,0.050972
629,000547,2016-12-31,0.040722
630,000547,2017-12-31,0.042408
631,000547,2018-12-31,0.059904
632,000547,2019-12-31,0.07158
633,000547,2020-12-31,0.07496
634,000548,2016-12-31,0.022562
635,000548,2017-12-31,0.054788
636,000548,2018-12-31,0.014633
637,000548,2019-12-31,0.020725
638,000548,2020-12-31,0.036821
639,000550,2016-12-31,0.057878
640,000550,2017-12-31,0.027161
641,000550,2018-12-31,0.00369
642,000550,2019-12-31,0.006198
643,000550,2020-12-31,0.020986
644,000551,2016-12-31,0.029245
645,000551,2017-12-31,0.032811
646,000551,2018-12-31,0.036295
647,000551,2019-12-31,0.043574
648,000551,2020-12-31,0.042237
649,000552,2016-12-31,0.024315
650,000552,2017-12-31,0.058645
651,000552,2018-12-31,0.057517
652,000552,2019-12-31,0.049991
653,000552,2020-12-31,0.036461
654,000553,2016-12-31,-0.024988
655,000553,2017-12-31,0.072579
656,000553,2018-12-31,0.058293
657,000553,2019-12-31,0.006289
658,000553,2020-12-31,0.007661
659,000554,2016-12-31,0.004331
660,000554,2017-12-31,0.002528
661,000554,2018-12-31,0.001687
662,000554,2019-12-31,0.004686
663,000554,2020-12-31,0.005286
664,000555,2016-12-31,0.030246
665,000555,2017-12-31,0.03147
666,000555,2018-12-31,0.004414
667,000555,2019-12-31,0.035573
668,000555,2020-12-31,0.040898
