,Stkcd,Time,BP
727,000590,2019-12-31,0.288335
728,000590,2020-12-31,0.391737
729,000591,2016-12-31,0.960072
730,000591,2017-12-31,0.909573
731,000591,2018-12-31,1.085373
732,000591,2019-12-31,1.046585
733,000591,2020-12-31,0.882486
734,000592,2016-12-31,0.305592
735,000592,2018-12-31,0.709951
736,000592,2019-12-31,0.679348
737,000592,2020-12-31,0.706197
738,000593,2016-12-31,0.46353
739,000593,2017-12-31,0.511093
740,000593,2018-12-31,0.601605
741,000593,2019-12-31,0.627473
742,000593,2020-12-31,0.633479
743,000595,2016-12-31,0.200634
744,000595,2017-12-31,0.474591
745,000595,2018-12-31,0.599617
746,000595,2019-12-31,0.429625
747,000595,2020-12-31,0.556235
748,000596,2016-12-31,0.372236
749,000596,2017-12-31,0.308294
750,000596,2018-12-31,0.427392
751,000596,2019-12-31,0.216098
752,000596,2020-12-31,0.126573
753,000597,2016-12-31,0.820852
754,000597,2017-12-31,0.777823
755,000597,2018-12-31,0.865343
756,000597,2019-12-31,0.830594
757,000597,2020-12-31,0.828341
758,000598,2016-12-31,0.677667
759,000598,2017-12-31,0.756674
760,000598,2018-12-31,0.959567
761,000598,2019-12-31,0.932595
762,000598,2020-12-31,0.962889
763,000599,2016-12-31,0.745647
764,000599,2017-12-31,0.861286
765,000599,2018-12-31,1.07345
766,000599,2019-12-31,0.973933
767,000599,2020-12-31,1.002417
768,000600,2016-12-31,0.947976
769,000600,2017-12-31,0.984255
770,000600,2018-12-31,1.093162
771,000600,2019-12-31,1.106585
772,000600,2020-12-31,1.091489
773,000601,2016-12-31,0.648855
774,000601,2017-12-31,0.751121
775,000601,2018-12-31,1.086031
776,000601,2019-12-31,0.927657
777,000601,2020-12-31,0.853754
778,000603,2016-12-31,0.354092
779,000603,2017-12-31,0.563302
780,000603,2018-12-31,0.53759
781,000603,2019-12-31,0.402942
782,000603,2020-12-31,0.398325
783,000605,2016-12-31,0.66165
784,000605,2017-12-31,0.783856
785,000605,2018-12-31,0.918468
786,000605,2019-12-31,1.035529
787,000605,2020-12-31,1.090886
788,000607,2016-12-31,0.381492
789,000607,2017-12-31,0.616249
790,000607,2018-12-31,0.651379
791,000607,2019-12-31,0.573705
792,000607,2020-12-31,0.603113
793,000608,2016-12-31,0.76361
794,000608,2017-12-31,0.875064
795,000608,2018-12-31,1.008803
796,000608,2019-12-31,0.969367
797,000608,2020-12-31,1.274689
798,000610,2016-12-31,0.341762
799,000610,2017-12-31,0.419335
800,000610,2018-12-31,0.573946
801,000610,2019-12-31,0.486861
802,000610,2020-12-31,0.554424
803,000612,2016-12-31,0.486473
804,000612,2017-12-31,0.578238
805,000612,2018-12-31,0.937666
806,000612,2019-12-31,0.893548
807,000612,2020-12-31,0.668495
808,000615,2016-12-31,0.709373
809,000615,2017-12-31,0.807012
810,000615,2018-12-31,0.927095
811,000615,2019-12-31,0.929858
812,000615,2020-12-31,0.744506
813,000619,2016-12-31,0.697225
814,000619,2017-12-31,0.907093
815,000619,2018-12-31,1.254763
816,000619,2019-12-31,1.173085
817,000619,2020-12-31,1.177023
818,000620,2016-12-31,0.834657
